Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
CO1 1AE,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2001-06-01,2002-07-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1AF,No,51.887917,0.894683,599300,225000,TL993250,Castle,"Colchester, unparished area",1992-01-01,1995-01-01,34,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1AG,Yes,51.898868,0.896623,599385,226223,TL993262,Castle,"Colchester, unparished area",2002-06-01,,17,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1AH,Yes,51.898193,0.897001,599414,226149,TL994261,Castle,"Colchester, unparished area",2002-06-01,,15,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1AJ,Yes,51.898482,0.896235,599360,226179,TL993261,Castle,"Colchester, unparished area",2002-06-01,,16,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1AL,No,51.887871,0.896540,599428,225000,TL994249,Castle,"Colchester, unparished area",2000-12-01,2001-07-01,35,England,2025-02-26,Imputed by ONS by reference to surrounding postcode grid references,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1AN,Yes,51.898336,0.897417,599442,226166,TL994261,Castle,"Colchester, unparished area",2002-06-01,,16,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1AP,Yes,51.898820,0.898931,599544,226224,TL995262,Castle,"Colchester, unparished area",2003-10-01,,15,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1AQ,Yes,51.892732,0.900502,599679,225551,TL996255,Castle,"Colchester, unparished area",2020-07-01,,35,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1AR,No,51.892615,0.900029,599647,225537,TL996255,Castle,"Colchester, unparished area",2001-12-01,2010-03-01,12,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1AS,No,51.891153,0.896577,599416,225365,TL994253,Castle,"Colchester, unparished area",1995-12-01,2009-03-01,25,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1AT,Yes,51.897294,0.901028,599695,226060,TL996260,Castle,"Colchester, unparished area",2014-08-01,,12,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1AU,Yes,51.898300,0.897778,599467,226163,TL994261,Castle,"Colchester, unparished area",2008-06-01,,16,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1AW,Yes,51.898250,0.898357,599507,226159,TL995261,Castle,"Colchester, unparished area",2008-05-01,,15,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1AX,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2000-12-01,2006-01-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1AY,No,51.887917,0.894683,599300,225000,TL993250,Castle,"Colchester, unparished area",1998-12-01,1999-06-01,34,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1AZ,Yes,51.888965,0.901887,599791,225136,TL997251,Castle,"Colchester, unparished area",2020-08-01,,10,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1BA,No,51.890812,0.898009,599516,225331,TL995253,Castle,"Colchester, unparished area",1980-01-01,2015-12-01,30,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1BB,No,51.889790,0.896053,599386,225212,TL993252,Castle,"Colchester, unparished area",1997-12-01,2024-06-01,36,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021646,Colchester 007A,E01021646,Colchester 007A
CO1 1BD,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",1999-06-01,2007-08-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1BE,Yes,51.889910,0.902617,599837,225243,TL998252,Castle,"Colchester, unparished area",2008-06-01,,31,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1BG,Yes,51.898597,0.895224,599290,226189,TL992261,Castle,"Colchester, unparished area",2001-06-01,,15,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1BH,No,51.898772,0.904918,599956,226235,TL999262,Castle,"Colchester, unparished area",1983-07-01,2007-02-01,10,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1BJ,No,51.898772,0.904918,599956,226235,TL999262,Castle,"Colchester, unparished area",1983-07-01,2007-02-01,10,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1BL,No,51.898772,0.904918,599956,226235,TL999262,Castle,"Colchester, unparished area",1983-07-01,2007-02-01,10,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1BN,No,51.898931,0.907662,600144,226260,TM001262,Castle,"Colchester, unparished area",1983-07-01,2023-10-01,11,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1BP,No,51.898920,0.907631,600142,226259,TM001262,Castle,"Colchester, unparished area",1983-07-01,2023-10-01,11,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1BQ,Yes,51.893309,0.899231,599589,225612,TL995256,Castle,"Colchester, unparished area",1999-12-01,,10,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1BS,No,51.898772,0.904918,599956,226235,TL999262,Castle,"Colchester, unparished area",1992-01-01,2007-02-01,10,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1BT,Yes,51.887877,0.900436,599696,225011,TL996250,Castle,"Colchester, unparished area",2025-01-01,,11,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1BU,No,51.898911,0.907631,600142,226258,TM001262,Castle,"Colchester, unparished area",1984-02-01,2023-10-01,11,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1BW,No,51.898931,0.907662,600144,226260,TM001262,Castle,"Colchester, unparished area",2011-05-01,2023-10-01,11,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1BX,Yes,51.898986,0.900731,599667,226247,TL996262,Castle,"Colchester, unparished area",1984-02-01,,12,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1BY,Yes,51.893250,0.898355,599529,225603,TL995256,Castle,"Colchester, unparished area",2000-12-01,,10,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1BZ,Yes,51.892183,0.895655,599348,225477,TL993254,Castle,"Colchester, unparished area",2003-05-01,,17,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1DA,Yes,51.889334,0.897158,599464,225164,TL994251,Castle,"Colchester, unparished area",1980-01-01,,38,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DB,Yes,51.889436,0.898371,599547,225179,TL995251,Castle,"Colchester, unparished area",1980-01-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DD,No,51.889323,0.897128,599462,225163,TL994251,Castle,"Colchester, unparished area",1980-01-01,2002-03-01,38,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DE,No,51.888743,0.897643,599500,225100,TL994250,Castle,"Colchester, unparished area",2000-01-01,2000-09-01,37,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DF,Yes,51.889055,0.900308,599682,225142,TL996251,Castle,"Colchester, unparished area",1980-01-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DG,Yes,51.889422,0.898573,599561,225178,TL995251,Castle,"Colchester, unparished area",1980-01-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DH,Yes,51.889587,0.900648,599703,225202,TL997252,Castle,"Colchester, unparished area",1980-01-01,,35,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1DJ,Yes,51.889605,0.900271,599677,225203,TL996252,Castle,"Colchester, unparished area",1980-01-01,,35,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1DL,Yes,51.898704,0.897804,599467,226208,TL994262,Castle,"Colchester, unparished area",2008-10-01,,16,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1DN,Yes,51.889506,0.902823,599853,225199,TL998251,Castle,"Colchester, unparished area",1980-01-01,,31,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1DP,No,51.889405,0.900723,599709,225182,TL997251,Castle,"Colchester, unparished area",1996-12-01,1997-06-01,35,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DQ,Yes,51.889400,0.898717,599571,225176,TL995251,Castle,"Colchester, unparished area",1980-01-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DR,No,51.888636,0.901996,599800,225100,TL997251,Castle,"Colchester, unparished area",1995-01-01,1995-07-01,32,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DS,Yes,51.890207,0.898842,599576,225266,TL995252,Castle,"Colchester, unparished area",1980-01-01,,35,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1DU,Yes,51.889405,0.898892,599583,225177,TL995251,Castle,"Colchester, unparished area",1980-01-01,,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DW,No,51.889850,0.898368,599545,225225,TL995252,Castle,"Colchester, unparished area",1984-10-01,2024-06-01,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DX,Yes,51.889367,0.900532,599696,225177,TL996251,Castle,"Colchester, unparished area",1980-01-01,,36,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DY,No,51.889641,0.897701,599500,225200,TL995251,Castle,"Colchester, unparished area",1984-02-01,1994-12-01,37,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1DZ,Yes,51.891061,0.896673,599423,225355,TL994253,Castle,"Colchester, unparished area",1980-01-01,,26,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1EA,Yes,51.893301,0.897718,599485,225607,TL994256,Castle,"Colchester, unparished area",2002-06-01,,10,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1EB,No,51.890585,0.896642,599423,225302,TL994253,Castle,"Colchester, unparished area",1980-01-01,2014-04-01,30,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1ED,Yes,51.892853,0.898038,599509,225558,TL995255,Castle,"Colchester, unparished area",2002-06-01,,12,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1EE,Yes,51.892764,0.896884,599430,225545,TL994255,Castle,"Colchester, unparished area",2004-05-01,,13,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1EF,No,51.890575,0.896307,599400,225300,TL993253,Castle,"Colchester, unparished area",1980-01-01,1997-07-01,30,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1EG,Yes,51.892089,0.896565,599411,225469,TL994254,Castle,"Colchester, unparished area",1980-01-01,,18,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1EH,Yes,51.892351,0.896480,599404,225498,TL994254,Castle,"Colchester, unparished area",1980-01-01,,16,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1EJ,Yes,51.891862,0.897713,599491,225447,TL994254,Castle,"Colchester, unparished area",1980-01-01,,19,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1EL,Yes,51.892105,0.897714,599490,225474,TL994254,Castle,"Colchester, unparished area",1980-01-01,,17,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1EN,Yes,51.892535,0.897058,599443,225520,TL994255,Castle,"Colchester, unparished area",1980-01-01,,14,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1EP,No,51.893233,0.897932,599500,225600,TL995255,Castle,"Colchester, unparished area",1992-01-01,1996-12-01,10,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1EQ,Yes,51.892617,0.898852,599566,225534,TL995255,Castle,"Colchester, unparished area",1990-07-01,,13,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1ER,No,51.893023,0.900230,599659,225583,TL996255,Castle,"Colchester, unparished area",1980-01-01,2005-09-01,10,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1ES,Yes,51.892669,0.900745,599696,225545,TL996255,Castle,"Colchester, unparished area",1980-01-01,,12,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1ET,No,51.892863,0.897995,599506,225559,TL995255,Castle,"Colchester, unparished area",1980-01-01,2000-09-01,12,England,2025-02-26,Approximate to within 50 metres,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1EU,Yes,51.891945,0.897282,599461,225455,TL994254,Castle,"Colchester, unparished area",2009-06-01,,18,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1EW,Yes,51.892623,0.899434,599606,225536,TL996255,Castle,"Colchester, unparished area",1980-01-01,,12,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1EX,No,51.893250,0.898355,599529,225603,TL995256,Castle,"Colchester, unparished area",1995-12-01,1999-12-01,10,England,2025-02-26,Postcode sector mean (mainly PO Boxes),E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1EY,Yes,51.892398,0.899681,599624,225512,TL996255,Castle,"Colchester, unparished area",1980-01-01,,13,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1EZ,Yes,51.892478,0.897898,599501,225516,TL995255,Castle,"Colchester, unparished area",1980-01-01,,14,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1FA,Yes,51.889920,0.902908,599857,225245,TL998252,Castle,"Colchester, unparished area",2017-08-01,,38,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1FB,Yes,51.898699,0.902878,599816,226221,TL998262,Castle,"Colchester, unparished area",2021-06-01,,63,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1FD,No,51.898588,0.906142,600041,226218,TM000262,Castle,"Colchester, unparished area",1984-10-01,1998-12-01,10,England,2025-02-26,Approximate to within 50 metres,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1FE,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",1995-12-01,2006-03-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1FF,Yes,51.892086,0.900693,599695,225480,TL996254,Castle,"Colchester, unparished area",1984-10-01,,17,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1FG,No,51.874981,0.872057,597800,223500,TL978234,Shrub End,"Colchester, unparished area",1984-10-01,1990-12-01,36,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021713,Colchester 015C,E01021713,Colchester 015C
CO1 1FH,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",1985-04-01,2006-04-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1FJ,No,51.898492,0.900960,599685,226193,TL996261,Castle,"Colchester, unparished area",1985-04-01,2008-05-01,12,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1FL,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",1991-09-01,2014-11-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1FN,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",1998-12-01,2023-09-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1FP,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",1991-09-01,2021-07-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1FQ,Yes,51.890812,0.898009,599516,225331,TL995253,Castle,"Colchester, unparished area",2016-04-01,,30,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1FR,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",1990-02-01,2012-02-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1FS,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",1998-06-01,2002-03-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1FT,No,51.889422,0.898573,599561,225178,TL995251,Castle,"Colchester, unparished area",1998-06-01,2000-09-01,37,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1FW,Yes,51.898740,0.903782,599878,226228,TL998262,Castle,"Colchester, unparished area",2020-11-01,,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1FY,No,51.889930,0.901658,599771,225243,TL997252,Castle,"Colchester, unparished area",2002-06-01,2003-11-01,31,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1FZ,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2000-12-01,2006-01-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1GA,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",1998-06-01,2006-04-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1GD,Yes,51.895845,0.902519,599804,225903,TL998259,Castle,"Colchester, unparished area",2013-07-01,,9,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1GE,No,51.897400,0.911284,600400,226100,TM004260,Castle,"Colchester, unparished area",1987-04-01,1999-12-01,7,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1GF,No,51.897400,0.911284,600400,226100,TM004260,Castle,"Colchester, unparished area",1987-04-01,1997-12-01,7,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1GG,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",1998-12-01,2018-12-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1GH,No,51.897400,0.911284,600400,226100,TM004260,Castle,"Colchester, unparished area",1987-04-01,1995-07-01,7,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1GJ,Yes,51.890307,0.900244,599672,225281,TL996252,Castle,"Colchester, unparished area",1996-06-01,,32,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1GL,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2005-01-01,2006-01-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1GN,No,51.890447,0.907695,600184,225317,TM001253,Castle,"Colchester, unparished area",1994-12-01,1997-06-01,23,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1GP,Yes,51.891401,0.899282,599601,225400,TL996253,Castle,"Colchester, unparished area",1990-07-01,,23,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1GQ,Yes,51.890235,0.900254,599673,225273,TL996252,Castle,"Colchester, unparished area",1996-06-01,,32,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1GR,No,51.893023,0.900230,599659,225583,TL996255,Castle,"Colchester, unparished area",1997-06-01,2014-12-01,10,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021650,Colchester 007E,E01021650,Colchester 007E
CO1 1GS,No,51.887738,0.901939,599800,225000,TL998249,Castle,"Colchester, unparished area",1994-12-01,1995-07-01,25,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021649,Colchester 007D,E01035158,Colchester 007D
CO1 1GT,No,51.889519,0.916094,600766,225237,TM007252,Castle,"Colchester, unparished area",2001-06-01,2002-05-01,7,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021648,Colchester 007C,E01021648,Colchester 007C
CO1 1GU,No,51.893309,0.899231,599589,225612,TL995256,Castle,"Colchester, unparished area",1997-12-01,2000-09-01,10,England,2025-02-26,Postcode sector mean (mainly PO Boxes),E01021649,Colchester 007D,E01035157,Colchester 007D
CO1 1GW,No,51.897400,0.911284,600400,226100,TM004260,Castle,"Colchester, unparished area",1994-12-01,1996-12-01,7,England,2025-02-26,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01021647,Colchester 007B,E01021647,Colchester 007B
CO1 1GX,Yes,51.892405,0.900858,599705,225516,TL997255,Castle,"Colchester, unparished area",1997-12-01,,14,England,2025-02-26,Within the building of the matched address closest to the postcode mean,E01021649,Colchester 007D,E01035157,Colchester 007D
